|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
|12-AA-32|1|00|
|12-AA-32|2|01|119|
|12-AA-32|3|02|OK|
|12-AA-32|4|02|OK|
|12-AA-32|5|02|KO|
|12-AA-32|2|01|119|
|12-AA-32|2|01|120|
|12-AA-32|2|01|121|
|12-AA-32|2|01|122|
|12-AA-32|2|01|121|
|12-AA-32|2|01|120|
|12-AA-32|2|01|119|
